"","Protein1","Protein2","Gene1","Gene2","Context","StringScore","CC","MF","BP"
"1","A0A096LP55","Q9UDW1","UQCRHL","UQCR10","poor",991,1,0,1
"2","A0A0B4J2A2","P62937","PPIAL4C","PPIA","poor",0,0.622,0.558,0.317
"3","A0A1B0GUS4","P51813","UBE2L5","BMX","poor",0,0.357,0.493,0.213
"4","A0A1B0GUS4","Q9UHK0","UBE2L5","NUFIP1","poor",0,0.599,0.323,0.169
"5","A0A1W2PP81","A8MTZ0","TAF11L5","BBIP1","poor",0,0,0,0
"6","A0A1W2PP81","O75864","TAF11L5","PPP1R37","poor",0,0,0,0
"7","A0A1W2PPE2","A8MTZ0","TAF11L4","BBIP1","poor",0,0.237,0.657,0.062
"8","A0A1W2PPE2","O75864","TAF11L4","PPP1R37","poor",0,0,0.411,0
"9","A0A1W2PPH5","A8MTZ0","TAF11L13","BBIP1","poor",0,0.237,0.657,0.062
"10","A0A1W2PPH5","O75864","TAF11L13","PPP1R37","poor",0,0,0.411,0
"11","A0A1W2PR64","A8MTZ0","TAF11L9","BBIP1","poor",0,0.237,0.657,0.062
"12","A0A1W2PR64","O75864","TAF11L9","PPP1R37","poor",0,0,0.411,0
"13","A0A1W2PRV1","A8MTZ0","TAF11L3","BBIP1","poor",0,0.237,0.657,0.062
"14","A0A1W2PRV1","O75864","TAF11L3","PPP1R37","poor",0,0,0.411,0
"15","A0A2R8Y4L2","O14979","HNRNPA1L3","HNRNPDL","poor",0,0.409,0.741,0.264
"16","A0A2R8Y4L2","O43390","HNRNPA1L3","HNRNPR","poor",0,1,0.848,1
"17","A0A2R8Y4L2","O60506","HNRNPA1L3","SYNCRIP","poor",0,1,0.741,1
"18","A0A2R8Y4L2","O60814","HNRNPA1L3","H2BC12","poor",0,0.58,0.514,0.111
"19","A0A2R8Y4L2","P06899","HNRNPA1L3","H2BC11","poor",0,0.58,0.514,0.111
"20","A0A2R8Y4L2","P07910","HNRNPA1L3","HNRNPC","poor",0,1,1,1
"21","A0A2R8Y4L2","P22626","HNRNPA1L3","HNRNPA2B1","rich",0,1,1,1
"22","A0A2R8Y4L2","P23246","HNRNPA1L3","SFPQ","poor",0,0.58,0.741,0.92
"23","A0A2R8Y4L2","P37802","HNRNPA1L3","TAGLN2","poor",0,0.302,0.269,0.064
"24","A0A2R8Y4L2","P42677","HNRNPA1L3","RPS27","poor",0,0.58,0.741,0.423
"25","A0A2R8Y4L2","P46013","HNRNPA1L3","MKI67","poor",0,0.58,0.741,0.149
"26","A0A2R8Y4L2","P57053","HNRNPA1L3","H2BC12L","poor",0,0.58,0.514,0.028
"27","A0A2R8Y4L2","P61978","HNRNPA1L3","HNRNPK","poor",0,1,0.848,1
"28","A0A2R8Y4L2","P62081","HNRNPA1L3","RPS7","poor",0,0.58,1,0.423
"29","A0A2R8Y4L2","P68431","HNRNPA1L3","H3C1","poor",0,0.58,0.514,0.392
"30","A0A2R8Y4L2","P84243","HNRNPA1L3","H3-3A","poor",0,0.58,0.293,0.065
"31","A0A2R8Y4L2","Q00839","HNRNPA1L3","HNRNPU","poor",0,1,1,1
"32","A0A2R8Y4L2","Q13185","HNRNPA1L3","CBX3","poor",0,0.58,0.269,0.215
"33","A0A2R8Y4L2","Q14103","HNRNPA1L3","HNRNPD","poor",0,0.58,0.849,0.71
"34","A0A2R8Y4L2","Q15181","HNRNPA1L3","PPA1","poor",0,0.292,0.111,0.178
"35","A0A2R8Y4L2","Q15233","HNRNPA1L3","NONO","poor",0,0.58,0.741,0.801
"36","A0A2R8Y4L2","Q16695","HNRNPA1L3","H3-4","poor",0,0.58,0.514,0.068
"37","A0A2R8Y4L2","Q5TEC6","HNRNPA1L3","H3-7","poor",0,0.58,0.514,0
"38","A0A2R8Y4L2","Q6NXT2","HNRNPA1L3","H3-5","poor",0,0.58,0.293,0.065
"39","A0A2R8Y4L2","Q6Y7W6","HNRNPA1L3","GIGYF2","poor",0,0.409,0.741,0.205
"40","A0A2R8Y4L2","Q71DI3","HNRNPA1L3","H3C15","poor",0,0.58,0.514,0.068
"41","A0A2R8Y4L2","Q71RC2","HNRNPA1L3","LARP4","poor",0,0.3,1,0.26
"42","A0A2R8Y4L2","Q96HP0","HNRNPA1L3","DOCK6","poor",0,0.252,0.269,0.063
"43","A0A2R8Y4L2","Q9BY77","HNRNPA1L3","POLDIP3","poor",0,0.58,0.848,0.151
"44","A0A2R8Y619","O00479","H2BK1","HMGN4","rich",0,0.866,0.517,0
"45","A0A2R8Y619","O15347","H2BK1","HMGB3","rich",0,0.739,0.689,0
"46","A0A2R8Y619","O60264","H2BK1","SMARCA5","poor",0,0.612,0.372,0
"47","A0A2R8Y619","O60814","H2BK1","H2BC12","poor",0,0.754,0.891,0
"48","A0A2R8Y619","O75367","H2BK1","MACROH2A1","rich",0,0.671,0.653,0
"49","A0A2R8Y619","O75475","H2BK1","PSIP1","rich",0,0.715,0.619,0
"50","A0A2R8Y619","P02545","H2BK1","LMNA","poor",0,0.65,0.545,0
"51","A0A2R8Y619","P04908","H2BK1","H2AC4","poor",0,0.848,0.908,0
"52","A0A2R8Y619","P05114","H2BK1","HMGN1","poor",0,0.76,0.643,0
"53","A0A2R8Y619","P05204","H2BK1","HMGN2","rich",0,0.683,0.555,0
"54","A0A2R8Y619","P06899","H2BK1","H2BC11","poor",0,0.693,0.862,0
"55","A0A2R8Y619","P09429","H2BK1","HMGB1","rich",0,0.48,0.491,0
"56","A0A2R8Y619","P09874","H2BK1","PARP1","poor",0,0.589,0.317,0
"57","A0A2R8Y619","P0C0S5","H2BK1","H2AZ1","poor",0,0.793,0.784,0
"58","A0A2R8Y619","P0C0S8","H2BK1","H2AC11","rich",0,0.86,0.795,0
"59","A0A2R8Y619","P0CG47","H2BK1","UBB","rich",0,0.433,0.429,0
"60","A0A2R8Y619","P0CG48","H2BK1","UBC","rich",0,0.452,0.503,0
"61","A0A2R8Y619","P10412","H2BK1","H1-4","rich",0,0.925,0.747,0
"62","A0A2R8Y619","P16104","H2BK1","H2AX","rich",0,0.659,0.826,0
"63","A0A2R8Y619","P16401","H2BK1","H1-5","rich",0,0.813,0.747,0
"64","A0A2R8Y619","P16402","H2BK1","H1-3","rich",0,0.893,0.746,0
"65","A0A2R8Y619","P16403","H2BK1","H1-2","rich",0,0.925,0.787,0
"66","A0A2R8Y619","P17096","H2BK1","HMGA1","poor",0,0.576,0.516,0
"67","A0A2R8Y619","P20671","H2BK1","H2AC7","rich",0,0.86,0.811,0
"68","A0A2R8Y619","P26358","H2BK1","DNMT1","poor",0,0.729,0.5,0
"69","A0A2R8Y619","P26583","H2BK1","HMGB2","rich",0,0.602,0.629,0
"70","A0A2R8Y619","P35251","H2BK1","RFC1","poor",0,0.67,0.57,0
"71","A0A2R8Y619","P57053","H2BK1","H2BC12L","poor",0,0.754,1,0
"72","A0A2R8Y619","P60709","H2BK1","ACTB","poor",0,0.405,0.445,0
"73","A0A2R8Y619","P62805","H2BK1","H4C1","rich",0,0.648,0.919,0
"74","A0A2R8Y619","P62826","H2BK1","RAN","poor",0,0.507,0.443,0
"75","A0A2R8Y619","P62937","H2BK1","PPIA","poor",0,0.401,0.426,0
"76","A0A2R8Y619","P62979","H2BK1","RPS27A","rich",0,0.42,0.514,0
"77","A0A2R8Y619","P62987","H2BK1","UBA52","rich",0,0.451,0.479,0
"78","A0A2R8Y619","P63261","H2BK1","ACTG1","poor",0,0.339,0.431,0
"79","A0A2R8Y619","P68032","H2BK1","ACTC1","poor",0,0.279,0.262,0
"80","A0A2R8Y619","P68133","H2BK1","ACTA1","poor",0,0.302,0.427,0
"81","A0A2R8Y619","P68431","H2BK1","H3C1","rich",0,0.651,0.881,0
"82","A0A2R8Y619","P84243","H2BK1","H3-3A","rich",0,0.676,0.765,0
"83","A0A2R8Y619","Q02539","H2BK1","H1-1","poor",0,0.754,0.734,0
"84","A0A2R8Y619","Q12802","H2BK1","AKAP13","poor",0,0.505,0.355,0
"85","A0A2R8Y619","Q13151","H2BK1","HNRNPA0","poor",0,0.574,0.459,0
"86","A0A2R8Y619","Q13185","H2BK1","CBX3","poor",0,0.644,0.435,0
"87","A0A2R8Y619","Q13191","H2BK1","CBLB","poor",0,0.394,0.329,0
"88","A0A2R8Y619","Q14185","H2BK1","DOCK1","poor",0,0.433,0.352,0
"89","A0A2R8Y619","Q14676","H2BK1","MDC1","poor",0,0.662,0.418,0
"90","A0A2R8Y619","Q14764","H2BK1","MVP","poor",0,0.452,0.428,0
"91","A0A2R8Y619","Q14839","H2BK1","CHD4","poor",0,0.554,0.403,0
"92","A0A2R8Y619","Q14980","H2BK1","NUMA1","poor",0,0.401,0.435,0
"93","A0A2R8Y619","Q15050","H2BK1","RRS1","poor",0,0.533,0.573,0
"94","A0A2R8Y619","Q15651","H2BK1","HMGN3","rich",0,0.75,0.477,0
"95","A0A2R8Y619","Q15843","H2BK1","NEDD8","poor",0,0.58,0.429,0
"96","A0A2R8Y619","Q15906","H2BK1","VPS72","poor",0,0.771,0.504,0
"97","A0A2R8Y619","Q16695","H2BK1","H3-4","rich",0,0.784,0.951,0
"98","A0A2R8Y619","Q16777","H2BK1","H2AC20","poor",0,0.86,0.811,0
"99","A0A2R8Y619","Q53EL6","H2BK1","PDCD4","poor",0,0.613,0.585,0
"100","A0A2R8Y619","Q5SSJ5","H2BK1","HP1BP3","poor",0,0.881,0.629,0
"101","A0A2R8Y619","Q5TEC6","H2BK1","H3-7","rich",0,0.939,1,0
"102","A0A2R8Y619","Q641Q2","H2BK1","WASHC2A","poor",0,0.467,0.384,0
"103","A0A2R8Y619","Q6FI13","H2BK1","H2AC18","rich",0,0.86,0.792,0
"104","A0A2R8Y619","Q6NXT2","H2BK1","H3-5","rich",0,0.887,0.838,0
"105","A0A2R8Y619","Q71DI3","H2BK1","H3C15","rich",0,0.752,0.951,0
"106","A0A2R8Y619","Q71UI9","H2BK1","H2AZ2","poor",0,0.86,0.748,0
"107","A0A2R8Y619","Q7L7L0","H2BK1","H2AW","poor",0,0,0,0
"108","A0A2R8Y619","Q7Z4V5","H2BK1","HDGFL2","poor",0,0.681,0.37,0
"109","A0A2R8Y619","Q8IUE6","H2BK1","H2AC21","rich",0,0.86,0.792,0
"110","A0A2R8Y619","Q92922","H2BK1","SMARCC1","poor",0,0.621,0.485,0
"111","A0A2R8Y619","Q93077","H2BK1","H2AC6","poor",0,0.833,0.792,0
"112","A0A2R8Y619","Q96BJ3","H2BK1","AIDA","poor",0,0.327,0.428,0
"113","A0A2R8Y619","Q96KK5","H2BK1","H2AC12","rich",0,0.86,0.811,0
"114","A0A2R8Y619","Q96ME7","H2BK1","ZNF512","poor",0,1,0.559,0
"115","A0A2R8Y619","Q96P70","H2BK1","IPO9","poor",0,0.462,0.356,0
"116","A0A2R8Y619","Q96PU4","H2BK1","UHRF2","poor",0,0.74,0.449,0
"117","A0A2R8Y619","Q96QV6","H2BK1","H2AC1","poor",0,0.794,0.868,0
"118","A0A2R8Y619","Q96T88","H2BK1","UHRF1","poor",0,0.711,0.42,0
"119","A0A2R8Y619","Q99878","H2BK1","H2AC14","poor",0,0,0,0
"120","A0A2R8Y619","Q9P0M6","H2BK1","MACROH2A2","poor",0,0.748,0.8,0
"121","A0A2R8Y619","Q9P258","H2BK1","RCC2","poor",0,0.375,0.45,0
"122","A0A2R8Y619","Q9UIG0","H2BK1","BAZ1B","poor",0,0.645,0.298,0
"123","A0A2R8Y619","Q9UPT8","H2BK1","ZC3H4","poor",0,0.723,0.486,0
"124","A0A2R8Y619","Q9Y2K7","H2BK1","KDM2A","poor",0,0.673,0.358,0
"125","A0A2R8Y619","Q9Y6F1","H2BK1","PARP3","poor",0,0.511,0.232,0
"126","A0AUZ9","P29590","KANSL1L","PML","poor",0,0.686,0.657,0
"127","A0AVI2","P16401","FER1L5","H1-5","poor",0,0.212,0.311,0.116
"128","A0AVK6","Q9BTM1","E2F8","H2AJ","poor",0,0.596,0.412,0.183
"129","A0AVT1","P0CG47","UBA6","UBB","poor",939,0.522,0.422,0.434
"130","A0AVT1","P0CG48","UBA6","UBC","poor",952,0.543,0.443,0.459
"131","A0AVT1","P62979","UBA6","RPS27A","poor",963,0.501,0.399,0.439
"132","A0AVT1","P62987","UBA6","UBA52","poor",930,0.539,0.403,0.472
"133","A0FGR8","P14618","ESYT2","PKM","poor",0,0.529,0.53,0.129
"134","A0FGR8","Q9BSJ8","ESYT2","ESYT1","poor",939,0.721,0.924,0.781
"135","A0FGR9","P40926","ESYT3","MDH2","poor",0,0.491,0.338,0.087
"136","A1YPR0","P09661","ZBTB7C","SNRPA1","poor",0,0.648,0.352,0.208
"137","A2A3N6","P51665","PIPSL","PSMD7","poor",0,0.488,0.106,0.123
"138","A2AJT9","Q9UM00","BCLAF3","TMCO1","poor",0,0.525,0.221,0.082
"139","A2RU48","P10809","SMCO3","HSPD1","poor",0,1,1,0
"140","A2RUR9","P05787","CCDC144A","KRT8","poor",0,0,0.543,0
"141","A4D1E9","P06733","GTPBP10","ENO1","poor",277,0.45,0.602,0.163
"142","A4FU49","Q96CU9","SH3D21","FOXRED1","poor",0,0.392,0,0.259
"143","A4FU69","P31946","EFCAB5","YWHAB","poor",0,0,0.311,0
"144","A4FU69","P60866","EFCAB5","RPS20","poor",0,0,0.311,0
"145","A4FU69","P63104","EFCAB5","YWHAZ","poor",0,0,0.311,0
"146","A4UGR9","P25490","XIRP2","YY1","poor",0,0.276,0.243,0.206
"147","A4UGR9","P62318","XIRP2","SNRPD3","poor",0,0.271,0.348,0.134
"148","A4UGR9","P63241","XIRP2","EIF5A","poor",0,0.364,0.366,0.108
"149","A4UGR9","P68431","XIRP2","H3C1","poor",0,0.307,0.381,0.287
"150","A4UGR9","P84243","XIRP2","H3-3A","poor",0,0.328,0.332,0.238
"151","A4UGR9","Q16695","XIRP2","H3-4","poor",0,0.329,0.39,0.266
"152","A4UGR9","Q71DI3","XIRP2","H3C15","poor",0,0.32,0.39,0.266
"153","A4UGR9","Q9GZV4","XIRP2","EIF5A2","poor",0,0.368,0.401,0.115
"154","A4UGR9","Q9UGI8","XIRP2","TES","poor",0,0.508,0.394,0.207
"155","A5A3E0","P60709","POTEF","ACTB","poor",0,0.684,0.524,0.268
"156","A5A3E0","P62736","POTEF","ACTA2","poor",0,0.646,0.473,0.177
"157","A5A3E0","P63261","POTEF","ACTG1","poor",167,0.829,0.607,0.416
"158","A5A3E0","P63267","POTEF","ACTG2","poor",0,0.718,0.123,0.11
"159","A5A3E0","P63313","POTEF","TMSB10","poor",167,0.537,0.386,0.455
"160","A5A3E0","P68032","POTEF","ACTC1","poor",0,0.789,0.177,0.314
"161","A5A3E0","P68133","POTEF","ACTA1","poor",0,0.717,0.382,0.174
"162","A6NC78","P16949","GOLGA8IP","STMN1","poor",0,0.357,0,0.32
"163","A6NC78","Q93045","GOLGA8IP","STMN2","poor",0,0.456,0,0.32
"164","A6NCC3","P16949","GOLGA8O","STMN1","poor",0,0.357,1,0.32
"165","A6NCC3","Q93045","GOLGA8O","STMN2","poor",0,0.456,1,0.32
"166","A6ND36","P16104","FAM83G","H2AX","poor",0,0.532,0.6,0.185
"167","A6ND36","Q86YA3","FAM83G","ZGRF1","poor",0,0.686,0.448,0.098
"168","A6ND36","Q8IUE6","FAM83G","H2AC21","poor",0,0.59,0.594,0.129
"169","A6ND36","Q96QV6","FAM83G","H2AC1","poor",0,0.589,0.419,0.076
"170","A6ND36","Q9H8M2","FAM83G","BRD9","poor",0,0.662,0.695,0.192
"171","A6ND36","Q9NSI5","FAM83G","IGSF5","poor",0,0.317,0,0.105
"172","A6NDE4","Q92878","RBMY1B","RAD50","poor",0,0.719,0.694,0.333
"173","A6NEQ0","Q92878","RBMY1E","RAD50","poor",0,0.667,0.458,0.343
"174","A6NF89","O95477","OR6C6","ABCA1","poor",0,0.51,0.132,0.228
"175","A6NF89","P04908","OR6C6","H2AC4","poor",0,0.378,0.116,0.188
"176","A6NF89","P0C0S8","OR6C6","H2AC11","poor",0,0.373,0.121,0.181
"177","A6NF89","P20671","OR6C6","H2AC7","poor",0,0.373,0.213,0.181
"178","A6NF89","P49756","OR6C6","RBM25","poor",0,0.384,0.118,0.161
"179","A6NF89","Q16777","OR6C6","H2AC20","poor",0,0.373,0.213,0.181
"180","A6NF89","Q5VYK3","OR6C6","ECPAS","poor",0,0.401,0.178,0.128
"181","A6NF89","Q6FI13","OR6C6","H2AC18","poor",0,0.373,0.204,0.181
"182","A6NF89","Q7L7L0","OR6C6","H2AW","poor",0,0,0,0
"183","A6NF89","Q93077","OR6C6","H2AC6","poor",0,0.38,0.204,0.22
"184","A6NF89","Q96KK5","OR6C6","H2AC12","poor",0,0.373,0.213,0.181
"185","A6NF89","Q99878","OR6C6","H2AC14","poor",0,0,0,0
"186","A6NF89","Q9BTM1","OR6C6","H2AJ","poor",0,0.373,0.213,0.181
"187","A6NG13","Q9BY32","MGAT4D","ITPA","poor",0,0.643,0.104,0.153
"188","A6NGB0","P02545","TMEM191C","LMNA","poor",0,0.427,0,0
"189","A6NHG4","P09104","DDTL","ENO2","poor",0,0.719,0.327,0
"190","A6NHR9","P05783","SMCHD1","KRT18","poor",0,0.457,0.594,0.218
"191","A6NHR9","P08670","SMCHD1","VIM","poor",0,0.402,0.553,0.298
"192","A6NHR9","P11021","SMCHD1","HSPA5","poor",0,0.349,0.692,0.247
"193","A6NHR9","P29401","SMCHD1","TKT","poor",0,0.401,0.556,0.166
"194","A6NHR9","P53999","SMCHD1","SUB1","poor",0,0.473,0.63,0.416
"195","A6NHR9","Q13151","SMCHD1","HNRNPA0","poor",0,0.415,0.464,0.251
"196","A6NHR9","Q15233","SMCHD1","NONO","poor",0,0.581,0.699,0.378
"197","A6NI15","P09429","MSGN1","HMGB1","poor",0,0.519,0.556,0.262
"198","A6NI15","P26583","MSGN1","HMGB2","poor",0,0.676,0.632,0.315
"199","A6NIR3","P07108","AGAP5","DBI","poor",0,0,0.171,0.329
"200","A6NJT0","P31946","UNCX","YWHAB","poor",0,0.393,0.161,0.196
"201","A6NJT0","P63104","UNCX","YWHAZ","poor",0,0.473,0.202,0.312
"202","A6NK53","P07900","ZNF233","HSP90AA1","poor",0,1,0.261,0.536
"203","A6NK53","P08238","ZNF233","HSP90AB1","poor",0,1,0.263,0.536
"204","A6NK53","Q96JM4","ZNF233","LRRIQ1","poor",0,0,0,0.135
"205","A6NK53","Q96KR4","ZNF233","LMLN","poor",0,0.443,0.434,0.176
"206","A6NKT7","P57740","RGPD3","NUP107","poor",329,0.739,0.119,0.953
"207","A6NMD2","P16949","GOLGA8J","STMN1","poor",0,0.357,0,0.32
"208","A6NMD2","Q93045","GOLGA8J","STMN2","poor",0,0.456,0,0.32
"209","A6NMY6","B2RXH8","ANXA2P2","HNRNPCL2","poor",0,0.273,0.521,0
"210","A6NMY6","B7ZW38","ANXA2P2","HNRNPCL3","poor",0,0.396,0.244,0
"211","A6NMY6","O60812","ANXA2P2","HNRNPCL1","poor",0,0.273,0.521,0
"212","A6NMY6","P07355","ANXA2P2","ANXA2","poor",0,0.642,0.638,0.234
"213","A6NMY6","P07910","ANXA2P2","HNRNPC","rich",0,0.533,0.373,0.07
"214","A6NMY6","P0DMR1","ANXA2P2","HNRNPCL4","poor",0,0.396,0.244,0
"215","A6NMY6","P23497","ANXA2P2","SP100","poor",0,0.477,0.496,0.079
"216","A6NMY6","P31949","ANXA2P2","S100A11","rich",0,0.594,0.499,0.117
"217","A6NMY6","P60903","ANXA2P2","S100A10","poor",0,0.695,0.518,0.133
"218","A6NMY6","Q6P2Q9","ANXA2P2","PRPF8","poor",0,0.373,0.354,0.046
"219","A6NMY6","Q86SE5","ANXA2P2","RALYL","poor",0,0.309,0.521,0
"220","A6NN73","P16949","GOLGA8CP","STMN1","poor",0,0.357,0,0.32
"221","A6NN73","Q93045","GOLGA8CP","STMN2","poor",0,0.456,0,0.32
"222","A6NNA2","P05783","SRRM3","KRT18","poor",0,0.671,0.847,0
"223","A6NNA2","Q15233","SRRM3","NONO","poor",0,1,0.847,0
"224","A6NNW6","P31946","ENO4","YWHAB","poor",0,0.461,0.34,0.192
"225","A6NNW6","P63104","ENO4","YWHAZ","poor",0,0.394,0.341,0.165
"226","A7E2F4","P16949","GOLGA8A","STMN1","poor",0,0.547,0,0.32
"227","A7E2F4","Q93045","GOLGA8A","STMN2","poor",0,0.663,0,0.32
"228","A7E2Y1","P07814","MYH7B","EPRS1","poor",0,0.68,0.573,0
"229","A7KAX9","P07737","ARHGAP32","PFN1","poor",0,0.62,0.614,0.157
"230","A8CG34","P52948","POM121C","NUP98","poor",731,0.809,0.666,0.495
"231","A8MQT2","P16949","GOLGA8B","STMN1","poor",0,0.547,0,0.32
"232","A8MQT2","Q93045","GOLGA8B","STMN2","poor",0,0.663,0,0.32
"233","A8MTZ0","P0DW11","BBIP1","TAF11L6","poor",0,0.237,0.657,0.14
"234","A8MTZ0","P0DW12","BBIP1","TAF11L7","poor",0,0.237,0.657,0.062
"235","A8MTZ0","P0DW13","BBIP1","TAF11L8","poor",0,0.237,0.657,0.14
"236","A8MTZ0","P0DW14","BBIP1","TAF11L10","poor",0,0.237,0.657,0.14
"237","A8MV23","P23381","SERPINE3","WARS1","poor",0,0.593,0.359,0.446
"238","A8MWD9","P62306","SNRPGP15","SNRPF","poor",0,0.858,1,0.859
"239","A8MYV0","Q969G3","DCDC2C","SMARCE1","poor",0,0.398,0,0.309
"240","B2RPK0","P04406","HMGB1P1","GAPDH","poor",0,0,0,0
"241","B2RPK0","P10412","HMGB1P1","H1-4","poor",0,0,0,0
"242","B2RPK0","P16402","HMGB1P1","H1-3","poor",0,0,0,0
"243","B2RPK0","P16403","HMGB1P1","H1-2","poor",0,0,0,0
"244","B2RXH8","P07355","HNRNPCL2","ANXA2","poor",0,0.355,0.666,0
"245","B2RXH8","P08670","HNRNPCL2","VIM","poor",0,0.359,0.698,0
"246","B2RXH8","P22626","HNRNPCL2","HNRNPA2B1","poor",277,0.662,0.719,0
"247","B2RXH8","P43243","HNRNPCL2","MATR3","poor",0,0.618,0.814,0
"248","B2RXH8","Q14684","HNRNPCL2","RRP1B","poor",0,0.618,0.825,0
"249","B2RXH8","Q5SRE5","HNRNPCL2","NUP188","poor",0,0.496,0.224,0
"250","B2RXH8","Q9UKM9","HNRNPCL2","RALY","rich",483,0.76,0.83,0
"251","B5ME19","O15371","EIF3CL","EIF3D","poor",997,0.814,0.932,0.615
"252","B5ME19","O15372","EIF3CL","EIF3H","poor",997,0.805,0.769,0.825
"253","B5ME19","P60228","EIF3CL","EIF3E","rich",999,0.636,0.931,0.687
"254","B5ME19","P62277","EIF3CL","RPS13","rich",660,0.411,0.8,0.667
"255","B5ME19","Q14152","EIF3CL","EIF3A","poor",999,0.722,0.882,0.708
"256","B5ME19","Q6DD88","EIF3CL","ATL3","poor",0,0.378,0.559,0.172
"257","B5ME19","Q9H9B1","EIF3CL","EHMT1","poor",0,0.307,0.434,0.223
"258","B7ZW38","P07355","HNRNPCL3","ANXA2","poor",0,1,1,0
"259","B7ZW38","P08670","HNRNPCL3","VIM","poor",0,0.671,0.847,0
"260","B7ZW38","P22626","HNRNPCL3","HNRNPA2B1","poor",277,1,1,0
"261","B7ZW38","P43243","HNRNPCL3","MATR3","poor",0,1,1,0
"262","B7ZW38","Q14684","HNRNPCL3","RRP1B","poor",0,1,1,0
"263","B7ZW38","Q5SRE5","HNRNPCL3","NUP188","poor",0,0.721,0.134,0
"264","B7ZW38","Q9UKM9","HNRNPCL3","RALY","rich",0,1,1,0
"265","C9JQI7","P07814","TMEM232","EPRS1","poor",0,0.519,0,0.071
"266","C9JQI7","Q8N9N7","TMEM232","LRRC57","poor",0,0.608,0,0
"267","C9JQI7","Q96SW2","TMEM232","CRBN","poor",0,0.493,0,0.132
"268","C9JQI7","Q9UQE7","TMEM232","SMC3","poor",0,0.337,0,0.232
"269","D6RF30","P16949","GOLGA8K","STMN1","poor",0,0.357,0,0.32
"270","D6RF30","Q93045","GOLGA8K","STMN2","poor",0,0.456,0,0.32
"271","E9PAV3","P06744","NACA","GPI","poor",0,0.495,0.425,0.105
"272","E9PAV3","P20290","NACA","BTF3","poor",999,0.977,0.741,0.663
"273","E9PAV3","Q14914","NACA","PTGR1","poor",0,0.689,0.297,0.048
"274","E9PAV3","Q7Z4V5","NACA","HDGFL2","poor",0,0.95,0.458,0.073
"275","E9PAV3","Q96K17","NACA","BTF3L4","poor",993,0,0.788,0
"276","E9PAV3","Q9BXJ9","NACA","NAA15","poor",156,0.777,0.554,0.104
"277","F5H4B4","Q562R1","FAM227A","ACTBL2","poor",0,0,0,0
"278","F8WBI6","P16949","GOLGA8N","STMN1","poor",0,0.357,0,0.32
"279","F8WBI6","Q93045","GOLGA8N","STMN2","poor",0,0.456,0,0.32
"280","H3BPF8","P16949","GOLGA8S","STMN1","poor",0,0.357,0,0.32
"281","H3BPF8","Q93045","GOLGA8S","STMN2","poor",0,0.456,0,0.32
"282","H3BQL2","P16949","GOLGA8T","STMN1","poor",0,0.357,0,0.32
"283","H3BQL2","Q93045","GOLGA8T","STMN2","poor",0,0.456,0,0.32
"284","H3BSY2","P16949","GOLGA8M","STMN1","poor",0,0.357,0,0.32
"285","H3BSY2","Q93045","GOLGA8M","STMN2","poor",0,0.456,0,0.32
"286","H3BV12","P16949","GOLGA8Q","STMN1","poor",0,0.357,0,0.32
"287","H3BV12","Q93045","GOLGA8Q","STMN2","poor",0,0.456,0,0.32
"288","H7BZ55","P62701","CROCC2","RPS4X","poor",0,0.386,0,0
"289","I6L899","P16949","GOLGA8R","STMN1","poor",0,0.357,0,0.32
"290","I6L899","Q93045","GOLGA8R","STMN2","poor",0,0.456,0,0.32
"291","O00124","P42166","UBXN8","TMPO","poor",0,0.638,0.665,0
"292","O00124","P42167","UBXN8","TMPO","poor",0,0.638,0.665,0
"293","O00124","Q08999","UBXN8","RBL2","poor",0,0.622,0.587,0.101
"294","O00124","Q9BZJ0","UBXN8","CRNKL1","poor",0,0.699,0.641,0.105
"295","O00124","Q9P2D7","UBXN8","DNAH1","poor",0,0.323,0.424,0.112
"296","O00148","O75489","DDX39A","NDUFS3","poor",0,0.633,0.414,0.13
"297","O00154","P18621","ACOT7","RPL17","poor",0,0.754,0.433,0.23
"298","O00159","P0DP23","MYO1C","CALM1","poor",870,0.653,0.502,0.26
"299","O00159","P0DP24","MYO1C","CALM2","poor",0,0.637,0.511,0.185
"300","O00159","P0DP25","MYO1C","CALM3","poor",0,0.612,0.535,0.184
"301","O00159","P26639","MYO1C","TARS1","poor",0,0.469,0.635,0.078
"302","O00159","P31689","MYO1C","DNAJA1","poor",0,0.69,0.672,0.289
"303","O00186","Q12846","STXBP3","STX4","poor",999,0.71,0.644,0.441
"304","O00193","Q8IYL3","SMAP","C1orf174","poor",0,0,0,0
"305","O00231","O00232","PSMD11","PSMD12","rich",999,0.95,1,1
"306","O00231","P62195","PSMD11","PSMC5","poor",999,0.87,0.536,0.412
"307","O00231","Q15008","PSMD11","PSMD6","rich",999,0.947,1,1
"308","O00232","P51665","PSMD12","PSMD7","poor",999,0.97,1,1
"309","O00232","P62333","PSMD12","PSMC6","poor",999,0.858,1,1
"310","O00232","Q9UNM6","PSMD12","PSMD13","rich",999,0.957,0.306,1
"311","O00233","P17980","PSMD9","PSMC3","rich",999,0.806,0.488,0.472
"312","O00233","P21291","PSMD9","CSRP1","poor",0,0.675,0.528,0.083
"313","O00264","O75396","PGRMC1","SEC22B","poor",0,0.507,0.521,0.209
"314","O00264","Q15392","PGRMC1","DHCR24","poor",254,0.662,0.485,0.223
"315","O00264","Q8N4V1","PGRMC1","MMGT1","poor",0,0.666,0.386,0.127
